ëŒäOãyÇ—ëŒì‡èÿåîîÑîÉå_ñÒìôÇÃèÛãµÅiåéï êÑà⁄Åj,,,,,,,,,,,ç≈èIçXêVì˙  óﬂòa8îN8åé10ì˙,,,,,,,,,,,,,,,
International Transactions in Securities(Monthly; based on reports from designated major investors),,,,,,,,,,,"Final Update  August 10, 2026",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ÅiíPà ÅFâ≠â~Åj,
,,,,,,,,,,,,,,,,,,,,,,,,,(Unit: 100 mil Yen),
ëŒäOèÿåîìäéëÅyãèèZé“Ç…ÇÊÇÈéÊìæÅEèàï™Åz,,,,,,,,,,,,,,ëŒì‡èÿåîìäéëÅyîÒãèèZé“Ç…ÇÊÇÈéÊìæÅEèàï™Åz,,,,,,,,,,,è¨åv,çáåv
Portfolio Investment Assets,,,,,,,,,,,,,,Portfolio Investment Liabilities,,,,,,,,,,,Subtotal,Total
,,,äîéÆÅEìäéëÉtÉ@ÉìÉhéùï™,,,íÜÅ@í∑Å@ä˙Å@ç¬,,,è¨åv,íZÅ@Å@ä˙Å@Å@ç¬,,,çáåv,äîéÆÅEìäéëÉtÉ@ÉìÉhéùï™,,,íÜÅ@í∑Å@ä˙Å@ç¬,,,è¨åv,íZÅ@Å@ä˙Å@Å@ç¬,,,çáåv,ÉlÉbÉg,ÉlÉbÉg
,,,Equity and investment fund shares,,,Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total,Equity and investment fund shares,,,Long-term debt securities,,,Subtotal,Short-term debt securities,,,Total,Net,Net
,,,éÊìæ,èàï™,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,éÊìæ,èàï™,ÉlÉbÉg,ÉlÉbÉg,ÅiA-B),(C-D)
,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net (A),Acquisition,Disposition,Net,Net (C),Acquisition,Disposition,Net,Acquisition,Disposition,Net,Net (B),Acquisition,Disposition,Net,Net (D),,
2005,ÇPåé,Jan,"9,934","8,428","1,506","89,060","83,172","5,888","7,394","8,289","9,042",-753,"6,641","89,346","80,593","8,753","70,315","51,964","18,351","27,103","37,860","29,116","8,744","35,847","-19,709","-29,206"
(ïΩê¨17îN)Å@,ÇQåé,Feb,"12,092","12,401",-308,"88,691","95,167","-6,475","-6,784","5,523","6,528","-1,005","-7,789","99,562","89,213","10,349","70,273","68,223","2,050","12,400","19,427","28,592","-9,166","3,234","-19,183","-11,023"
,ÇRåé,Mar,"12,483","11,896",587,"84,008","91,685","-7,678","-7,091","6,985","8,129","-1,144","-8,235","127,179","118,322","8,857","77,109","76,972",138,"8,995","20,312","28,971","-8,658",336,"-16,085","-8,571"
,ÇSåé,Apr,"13,464","11,478","1,986","128,043","88,016","40,027","42,013","7,643","7,320",322,"42,336","101,866","100,469","1,397","60,548","41,302","19,246","20,643","31,770","25,496","6,274","26,917","21,371","15,419"
,ÇTåé,May,"14,459","11,922","2,537","121,868","95,608","26,260","28,798","7,388","6,011","1,377","30,175","96,516","94,448","2,068","74,438","53,250","21,188","23,256","23,331","23,591",-260,"22,996","5,542","7,178"
,ÇUåé,Jun,"12,011","12,314",-303,"154,976","145,429","9,547","9,245","7,624","8,409",-785,"8,459","104,082","101,447","2,635","84,750","79,798","4,952","7,587","22,844","25,887","-3,043","4,544","1,658","3,916"
,ÇVåé,Jul,"13,364","14,240",-877,"89,507","69,572","19,935","19,058","7,668","7,773",-104,"18,954","102,548","88,814","13,733","52,363","58,765","-6,402","7,331","19,410","15,037","4,373","11,704","11,727","7,250"
,ÇWåé,Aug,"13,629","12,764",865,"92,134","83,812","8,322","9,187","7,235","7,963",-728,"8,459","161,519","140,493","21,027","77,296","81,088","-3,792","17,235","27,432","27,431",1,"17,235","-8,048","-8,776"
,ÇXåé,Sep,"13,004","10,907","2,097","101,516","92,214","9,302","11,399","6,702","9,138","-2,436","8,963","177,223","160,531","16,692","84,368","84,742",-374,"16,318","16,081","25,284","-9,203","7,116","-4,919","1,847"
,10åé,Oct,"14,681","11,333","3,348","98,873","63,847","35,026","38,374","7,345","7,341",4,"38,378","183,579","173,122","10,457","71,433","71,775",-342,"10,114","21,251","24,841","-3,590","6,524","28,260","31,854"
,11åé,Nov,"16,971","14,957","2,015","76,572","72,239","4,332","6,347","6,111","6,065",46,"6,393","206,141","189,717","16,424","77,681","68,055","9,626","26,049","41,597","25,091","16,506","42,555","-19,702","-36,162"
,12åé,Dec,"11,713","10,231","1,483","77,818","63,781","14,036","15,519","6,048","7,584","-1,536","13,983","225,613","211,764","13,850","73,201","75,517","-2,316","11,534","23,162","24,294","-1,132","10,402","3,985","3,581"
2006,ÇPåé,Jan,"14,062","13,253",809,"82,299","88,113","-5,814","-5,004","7,871","7,540",331,"-4,674","242,544","229,417","13,128","82,355","66,565","15,790","28,917","26,051","23,004","3,046","31,964","-33,922","-36,638"
(ïΩê¨18îN),ÇQåé,Feb,"13,456","13,411",45,"79,121","82,979","-3,858","-3,813","7,338","6,764",575,"-3,239","244,879","238,035","6,844","83,681","92,274","-8,593","-1,749","23,315","26,099","-2,784","-4,533","-2,065","1,294"
,ÇRåé,Mar,"17,867","17,690",177,"81,077","104,341","-23,264","-23,088","8,434","9,170",-736,"-23,823","227,221","212,350","14,870","119,420","118,249","1,171","16,042","31,592","30,968",624,"16,666","-39,129","-40,489"
,ÇSåé,Apr,"16,762","12,629","4,133","98,227","86,719","11,508","15,641","7,593","9,696","-2,103","13,538","206,802","203,381","3,421","84,929","83,604","1,325","4,746","33,811","28,607","5,203","9,949","10,895","3,588"
