投資家部門別対外証券投資（中長期債）,,,,,,,,,,,,,,,,,,最終更新日  令和8年8月10日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchases and Sales of Foreign Securities by Residents by Types of Investors(Long-term debt securities),,,,,,,,,,,,,,,,,,"Final Update  August 10, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（単位：億円）,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,（Unit: 100 mil Yen）,
,,,各部門計,,,公的部門,,,,,,,,,預金取扱機関,,,,,,,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,中央銀行,,,一般政府,,,,,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,,,,その他金融機関,,,,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行等及び信託銀行（信託勘定）,,,,,,,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,,,
,,,（a+b+c+ｄ),,, Public Sector,,,,,,,,,Deposit-taking Corporations (b),,,,,,,,,Other Sectors （d),,,,,,,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,,,,,,,,,,,,,,,
,,,,,,,,,Central Bank (a),,,General Government (ｃ),,,,,,Banks（Banking Accounts),,,Trust Banks(Banking Accounts）,,,,,,Other Financial Corporations,,,Banks and Trust banks（Trust Accounts）,,,Banks（Trust Accounts）,,,Trust Banks（Trust Accounts）,,,Financial Instruments Firms,,,Life Insurance Companies,,,Non-Life Insurance Companies,,,Investment Trust Management Companies,,,Others,,
,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
2005,1月,Jan,"89,060","83,172","5,888",0,128,-128,-,-,-,-,-,-,"43,181","41,764","1,417","39,989","39,692",297,"3,192","2,072","1,120","45,879","41,280","4,598","43,581","38,461","5,117","13,403","12,472",930,-,-,-,-,-,-,"15,517","10,550","4,966","5,271","9,384","-4,113",474,459,14,"8,916","5,596","3,320","2,299","2,819",-520
,2月,Feb,"88,691","95,167","-6,475",15,176,-161,-,-,-,-,-,-,"32,332","42,245","-9,913","28,672","34,909","-6,237","3,660","7,336","-3,676","56,345","52,746","3,599","53,549","47,164","6,387","17,940","16,625","1,315",-,-,-,-,-,-,"22,811","16,819","5,993","5,790","7,972","-2,182",88,845,-756,"6,920","4,903","2,017","2,795","5,583","-2,787"
,3月,Mar,"84,008","91,685","-7,678",0,78,-78,-,-,-,-,-,-,"28,711","36,870","-8,159","26,834","32,641","-5,807","1,877","4,229","-2,352","55,297","54,737",560,"53,082","49,252","3,830","15,231","14,735",496,-,-,-,-,-,-,"15,508","12,436","3,072","13,830","15,646","-1,816",358,636,-278,"8,155","5,799","2,356","2,215","5,485","-3,271"
,4月,Apr,"128,043","88,016","40,027",12,83,-71,-,-,-,-,-,-,"70,057","43,579","26,478","65,774","42,027","23,747","4,283","1,551","2,731","57,974","44,354","13,620","55,036","39,796","15,243","18,803","15,465","3,338",-,-,-,-,-,-,"16,056","10,163","5,894","11,719","8,558","3,162","1,246",302,944,"7,212","5,308","1,905","2,937","4,559","-1,622"
,5月,May,"121,868","95,608","26,260",1,56,-55,-,-,-,-,-,-,"67,093","52,524","14,569","60,490","47,879","12,611","6,603","4,645","1,958","54,775","43,028","11,747","52,307","38,464","13,841","13,076","10,663","2,412",-,-,-,-,-,-,"17,608","11,215","6,393","11,054","9,832","1,221",480,522,-42,"10,089","6,232","3,857","2,468","4,564","-2,096"
,6月,Jun,"154,976","145,429","9,547",0,41,-41,-,-,-,-,-,-,"88,879","84,811","4,067","78,245","78,918",-673,"10,634","5,893","4,741","66,097","60,577","5,521","62,980","53,648","9,332","18,447","16,399","2,048",-,-,-,-,-,-,"18,060","15,858","2,203","14,246","13,323",923,773,952,-179,"11,454","7,116","4,337","3,118","6,929","-3,811"
,7月,Jul,"89,507","69,572","19,935",0,43,-43,-,-,-,-,-,-,"29,927","24,925","5,002","29,083","20,779","8,304",844,"4,146","-3,302","59,580","44,604","14,975","55,644","39,627","16,017","15,231","13,308","1,923",-,-,-,-,-,-,"16,481","12,498","3,983","13,756","6,604","7,152",553,765,-212,"9,623","6,452","3,171","3,937","4,978","-1,041"
,8月,Aug,"92,134","83,812","8,322",0,57,-57,-,-,-,-,-,-,"34,917","35,907",-990,"33,492","26,276","7,216","1,425","9,631","-8,206","57,217","47,848","9,369","55,238","43,508","11,729","17,845","14,266","3,578",-,-,-,-,-,-,"17,455","10,220","7,235","7,503","10,837","-3,334",713,867,-154,"11,722","7,318","4,404","1,979","4,339","-2,360"
,9月,Sep,"101,516","92,214","9,302",0,180,-180,-,-,-,-,-,-,"52,362","44,093","8,269","46,880","41,643","5,237","5,482","2,449","3,032","49,154","47,941","1,212","46,158","41,536","4,622","13,272","10,266","3,006",-,-,-,-,-,-,"16,320","11,450","4,870","6,570","13,008","-6,438",225,"1,359","-1,134","9,771","5,453","4,318","2,996","6,406","-3,410"
,10月,Oct,"98,873","63,847","35,026",0,21,-21,-,-,-,-,-,-,"39,939","16,955","22,984","37,550","15,985","21,565","2,390",970,"1,420","58,933","46,871","12,063","55,683","40,308","15,375","18,330","14,708","3,622",-,-,-,-,-,-,"14,898","10,000","4,898","8,104","6,565","1,539","1,522",27,"1,495","12,829","9,008","3,821","3,250","6,563","-3,312"
,11月,Nov,"76,572","72,239","4,332",0,6,-6,-,-,-,-,-,-,"19,866","17,293","2,573","18,990","16,369","2,621",876,924,-47,"56,705","54,941","1,764","52,594","49,324","3,269","18,069","16,968","1,101",-,-,-,-,-,-,"15,532","11,731","3,801","4,407","9,094","-4,688",749,853,-104,"13,837","10,678","3,159","4,111","5,616","-1,505"
,12月,Dec,"77,818","63,781","14,036",10,11,-1,-,-,-,-,-,-,"26,213","17,147","9,066","25,026","15,715","9,311","1,187","1,431",-245,"51,595","46,624","4,971","48,388","40,023","8,365","12,591","11,960",631,-,-,-,-,-,-,"15,314","10,956","4,358","6,720","6,635",85,825,785,40,"12,938","9,687","3,251","3,207","6,601","-3,394"
2006,1月,Jan,"82,299","88,113","-5,814",0,23,-23,-,-,-,-,-,-,"27,470","36,462","-8,991","26,262","33,087","-6,825","1,208","3,374","-2,166","54,829","51,628","3,200","51,643","46,448","5,196","15,064","11,871","3,193",-,-,-,-,-,-,"13,274","11,453","1,821","11,498","12,872","-1,374",333,483,-149,"11,474","9,769","1,705","3,186","5,181","-1,995"
,2月,Feb,"79,121","82,979","-3,858",0,6,-6,-,-,-,-,-,-,"15,659","25,771","-10,113","15,082","22,453","-7,371",576,"3,319","-2,742","63,462","57,201","6,261","60,569","50,989","9,580","19,820","17,077","2,743",-,-,-,-,-,-,"19,107","13,802","5,305","9,037","12,330","-3,293","1,121","1,149",-28,"11,484","6,631","4,853","2,893","6,212","-3,319"
,3月,Mar,"81,077","104,341","-23,264",0,13,-12,-,-,-,-,-,-,"17,014","50,154","-33,140","16,456","44,465","-28,008",558,"5,690","-5,132","64,062","54,174","9,888","60,511","46,440","14,071","20,408","16,830","3,579",-,-,-,-,-,-,"19,323","13,259","6,063","8,568","7,383","1,185",545,"1,029",-484,"11,667","7,939","3,728","3,552","7,735","-4,183"
,4月,Apr,"98,227","86,719","11,508",0,0,0,-,-,-,-,-,-,"25,837","26,881","-1,044","25,399","25,860",-461,439,"1,021",-582,"72,389","59,838","12,551","69,471","54,937","14,533","20,752","18,128","2,624",-,-,-,-,-,-,"16,626","10,513","6,113","19,175","16,446","2,729",765,189,576,"12,153","9,661","2,491","2,919","4,901","-1,982"
,5月,May,"78,246","66,490","11,757",0,0,0,-,-,-,-,-,-,"14,999","14,097",902,"14,189","12,911","1,278",810,"1,186",-376,"63,247","52,393","10,854","58,883","47,423","11,460","18,424","15,550","2,874",-,-,-,-,-,-,"17,263","11,088","6,175","10,195","11,292","-1,097",840,847,-7,"12,161","8,646","3,515","4,364","4,970",-606
,6月,Jun,"71,172","63,752","7,420",0,0,0,-,-,-,-,-,-,"19,482","18,640",842,"16,385","17,605","-1,220","3,096","1,035","2,062","51,690","45,112","6,578","49,671","41,251","8,418","14,233","13,809",423,-,-,-,-,-,-,"13,263","10,370","2,893","12,057","7,647","4,410",419,"1,219",-801,"9,699","8,206","1,493","2,020","3,861","-1,841"
,7月,Jul,"70,643","63,156","7,487",0,1,-1,-,-,-,-,-,-,"22,600","16,164","6,435","21,100","15,038","6,062","1,500","1,126",373,"48,043","46,990","1,053","45,434","43,111","2,323","14,432","14,734",-302,-,-,-,-,-,-,"11,308","8,436","2,872","7,480","9,303","-1,823",276,"1,614","-1,338","11,938","9,024","2,914","2,609","3,878","-1,269"
,8月,Aug,"118,694","95,785","22,908",0,0,0,-,-,-,-,-,-,"67,270","45,765","21,505","65,312","42,793","22,519","1,958","2,972","-1,014","51,423","50,020","1,403","49,531","46,119","3,412","17,758","16,924",834,-,-,-,-,-,-,"12,388","8,818","3,570","7,998","10,484","-2,486",764,"1,175",-411,"10,623","8,718","1,905","1,893","3,902","-2,009"
,9月,Sep,"95,738","102,963","-7,225",1,1,0,-,-,-,-,-,-,"45,611","53,620","-8,009","37,884","44,989","-7,105","7,727","8,631",-904,"50,126","49,342",784,"47,152","43,811","3,339","13,507","13,105",402,-,-,-,-,-,-,"13,982","9,785","4,197","6,568","8,819","-2,251",355,"1,207",-853,"12,740","10,895","1,844","2,974","5,530","-2,556"
,10月,Oct,"86,309","65,712","20,597",0,16,-16,-,-,-,-,-,-,"31,554","15,727","15,828","30,398","13,835","16,563","1,156","1,892",-735,"54,754","49,970","4,785","52,969","44,725","8,242","15,129","15,694",-565,-,-,-,-,-,-,"13,265","10,238","3,026","7,698","6,223","1,475","1,816",693,"1,123","15,061","11,877","3,183","1,786","5,244","-3,458"
,11月,Nov,"79,734","70,879","8,854",0,0,0,-,-,-,-,-,-,"30,198","27,321","2,878","29,655","25,682","3,973",543,"1,638","-1,095","49,535","43,559","5,976","46,990","37,944","9,047","15,379","14,406",973,-,-,-,-,-,-,"12,673","9,577","3,096","5,944","4,477","1,468",510,495,15,"12,484","8,989","3,495","2,545","5,614","-3,069"
,12月,Dec,"79,868","78,458","1,410",0,1,-1,-,-,-,-,-,-,"29,909","31,125","-1,216","28,419","29,632","-1,212","1,489","1,493",-4,"49,960","47,333","2,627","48,021","41,425","6,597","19,197","17,250","1,947",-,-,-,-,-,-,"12,482","9,088","3,394","4,734","6,154","-1,420",663,729,-66,"10,945","8,204","2,742","1,938","5,909","-3,970"
